Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
WRK,WestRock Co.,D,Conservative,F,C,C,A,A,B,D,F,D,B,14,8.5,3,70,54,0.74,-1.6,4,12.8,1.06,43.09,26.9,"Manufactures and distributes packaging products, office supplies and specialty chemicals",Containers/Packaging,20,2,5,4,6
WTM,White Mountains Insurance Group Ltd,D,Conservative,D,D,F,A,F,A,D,F,D,D,3,56.8,0,926,789,2.78,0,0,0,0.61,-78.17,26.7,Provides property and casualty insurance services,Property/Casualty Insurance,54,18,0,41,20
WTW,"Weight Watchers International, Inc.",A,Moderate,A,B,B,A,A,A,A,D,C,D,6,42.1,0,103,32,0.66,372.3,408.9,19.7,0.87,32.08,43.1,Provides weight management services,Other Consumer Services,57,11,9,8,10
WWE,"World Wrestling Entertainment, Inc.",A,Moderate,A,B,D,A,A,A,A,A,C,B,5,163.8,1,68,20,0.06,40.8,240.7,12.2,0.16,170.02,69.7,Produces wrestling sports entertainment programs,Movies/Entertainment,40,15,5,1,4
WWW,"Wolverine World Wide, Inc.",B,Conservative,B,B,F,A,A,B,A,C,B,C,3,0,1,37,26,0.43,36,569.2,-4.9,0.46,5.83,12.7,"Designs, manufactures and markets footwear",Apparel/Footwear,31,12,25,11,15
WYND,"Wyndham Destinations, Inc.",D,Conservative,D,D,F,D,F,F,C,F,D,A,4,5.5,2,127,47,1.53,2.5,1,-30.4,1.23,-19.73,2.2,"Provides vacation property ownership, exchange, and rental services",Hotels/Resorts/Cruiselines,18,11,17,13,16
XEL,Xcel Energy Inc.,D,Conservative,D,C,D,B,C,C,B,D,F,B,22,19.4,3,52,42,0.45,12.3,2,-0.8,0.47,4.11,5.6,Provides electric and natural gas utility services,Electric Utilities,69,10,36,24,33
XHR,"Xenia Hotels & Resorts, Inc.",B,Conservative,B,B,B,A,A,A,F,C,D,C,2,27,6,26,19,0.65,-22.1,272.1,11.4,0.28,-56.92,-12,Operates as real estate investment trust,Real Estate Investment Trusts,226,110,60,149,153
XLNX,"Xilinx, Inc.",D,Conservative,D,C,C,C,C,C,D,D,C,A,16,35.1,2,77,61,0.63,-2,673.8,9.5,0.73,16.33,23.9,Develops and markets programmable logic solutions,Semiconductors,61,12,26,18,17
XOM,Exxon Mobil Corporation,D,Conservative,D,C,B,C,C,B,D,F,D,B,344,17.6,4,89,73,0.78,-1.3,73,17.3,1.24,59.3,16.4,"Explores, develops and distributes crude oil, natural gas and petroleum products",Integrated Oil,21,1,12,11,14
XPO,"XPO Logistics, Inc.",B,Conservative,A,B,B,A,A,B,B,D,D,B,13,45.3,0,114,55,0.6,20.7,4,13.2,0.98,64,43,Provides logistics and other transportation services,Trucking,18,2,9,6,7
XRAY,"DENTSPLY SIRONA, Inc.",F,Conservative,F,C,D,B,B,D,C,B,C,F,10,0,1,69,42,0.65,7,1,3.6,0.59,-8.75,6.3,Manufactures and distributes dental equipment,Medical Specialties,169,23,96,48,69
XRX,Xerox Corporation,D,Conservative,D,C,D,D,A,C,D,C,A,C,6,44.7,3,34,26,0.87,-6.4,2,-3,0.87,0.29,0.6,"Engages in the design, development and sale of document management systems and solutions",Computer Peripherals,22,6,10,7,13
Y,Alleghany Corporation,D,Conservative,F,C,D,C,C,A,B,C,C,D,8,109.8,0,634,523,6.37,20.9,1,14.4,8.09,26.99,817.2,Provides property and casualty reinsurance and insurance and financial services,Property/Casualty Insurance,54,10,6,17,2
ZBH,"Zimmer Biomet Holdings, Inc.",F,Conservative,F,D,D,D,D,D,C,F,C,B,22,12.4,1,133,105,2.08,1.3,1,2.2,1.89,-9.05,2.7,Manufactures and distributes orthopedic reconstructive implants,Medical Specialties,169,12,100,49,71
ZBRA,Zebra Technologies Corporation,B,Conservative,B,B,B,A,A,B,A,F,B,B,7,475.4,0,161,96,1.51,24.7,989,10.4,2.23,47.97,15.9,Manufactures computerized bar-code laser printers,Computer Peripherals,22,4,4,3,6
ZEN,"Zendesk, Inc.",A,Conservative,A,B,A,C,C,A,C,B,C,F,5,0,0,59,25,-0.05,0,137.5,35.8,0,0,184.1,Offers on-demand help desk software,Data Processing Services,37,13,3,0,2
ZION,Zions Bancorporation,B,Conservative,B,B,C,A,A,A,A,D,B,C,10,21.4,1,59,41,0.73,32.7,688.3,4.3,0.92,26.66,24.3,Operates as a bank holding company whose subsidiary provides banking services,Regional Banks,300,20,166,93,59
ZTO,ZTO Express (Cayman) Inc. Sponsored ADR,B,Conservative,B,B,A,D,C,D,B,A,C,B,9,29.7,0,21,13,0.15,11.1,637.3,42.9,0.21,42.66,23.2,Engages in the provision of express delivery and value-added logistics services,Air Freight/Couriers,13,5,2,2,4
ZTS,"Zoetis, Inc.",B,Conservative,B,B,C,B,B,C,B,C,C,A,41,49,1,89,60,0.53,8,1,9.4,0.71,33.4,16.7,Develops animal vaccines and prescriptions medicines,Pharmaceuticals: Generic,15,2,3,3,3
