Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
STMP,Stamps.com Inc.,B,Moderate,A,B,B,C,B,A,A,F,B,A,4,30.9,0,285,143,2.08,32.3,133.6,15.1,2.33,12.21,0.5,Provides internet based postage services,Internet Software/Services,91,28,34,27,56
STOR,STORE Capital Corporation,A,Conservative,A,B,B,B,C,B,B,A,D,C,5,38.6,5,27,21,0.35,18.9,125.9,16.4,0.22,-37.09,2.9,Functions as real estate investment trust,Real Estate Investment Trusts,226,61,50,136,93
STX,Seagate Technology PLC,B,Moderate,B,B,D,A,A,A,B,D,B,A,16,26.5,4,62,31,0.65,9.6,2,16.4,1.45,122.51,9.5,"Designs, manufactures and markets data storage products",Computer Peripherals,22,3,3,2,9
STZ,"Constellation Brands, Inc.",B,Conservative,A,B,C,A,A,C,B,F,C,A,43,27.8,1,234,182,2.34,8.6,2,5.6,2.44,4.27,12,Produces and distributes alcoholic beverages,Beverages: Alcoholic,18,4,6,10,8
SUN,Sunoco LP,F,Conservative,F,D,F,C,C,F,F,B,F,F,2,72.91,13,33,25,-2.53,-850.8,3,57.7,0.55,0,-182.9,Provides wholesale distribution of motor fuels,Wholesale Distributors,43,14,2,0,30
SWK,"Stanley Black & Decker, Inc.",D,Conservative,F,D,B,F,F,C,C,F,D,B,20,16.8,2,176,134,2.01,3,3,8.5,2.04,1.25,11.9,"Provides power, hand tools and mechanical access solutions",Tools & Hardware,5,1,1,3,3
SWKS,"Skyworks Solutions, Inc.",D,Conservative,D,C,C,C,C,D,C,F,C,A,17,22.3,1,116,87,1.57,2.4,888.9,-1.3,1.6,1.63,10.5,"Designs, develops, manufactures and markets proprietary semiconductor products",Semiconductors,61,11,49,29,43
SYMC,Symantec Corporation,D,Conservative,F,C,C,C,C,F,B,C,C,A,12,13.3,1,34,20,0.33,17.3,1,-6.4,0.33,-0.46,4,"Develops software and provides security, storage and systems management solutions",Packaged Software,87,13,66,40,55
SYNT,"Syntel, Inc",B,Moderate,A,B,C,C,C,B,A,F,B,A,2,16.1,0,34,16,0.44,25.1,232.9,2.7,0.44,-0.95,-3,Provides information technology and outsourcing solutions,Information Technology Services,110,37,80,43,77
T,AT&T Inc.,D,Conservative,F,C,F,B,B,D,D,D,F,A,194,6.7,6,40,31,0.79,-2.7,38,-3.4,0.89,12.63,4.1,"Provides DSL internet, local and long-distance voice and data services",Major Telecommunications,19,2,14,4,12
TAL,TAL Education Group Sponsored ADR,A,Moderate,A,B,A,B,A,D,A,A,C,A,11,104.6,0,47,20,0.05,27.3,509.8,58.4,0.08,58.69,46.4,Provides after-school tutoring services,Other Consumer Services,57,8,1,4,9
TAP,Molson Coors Brewing Company,F,Conservative,F,D,F,B,B,D,F,F,D,B,14,10.7,2,92,59,1.66,-38.4,3,0.2,1.88,13.06,6.8,Produces and sells beer,Beverages: Alcoholic,18,9,11,4,13
TCF,TCF Financial Corporation,A,Conservative,A,B,B,B,B,B,C,B,C,B,4,17.9,2,27,15,0.33,7.4,362.3,6,0.46,40.11,-2.3,Operates as a holding company with interests in provides banking services,Major Banks,44,36,12,6,43
TDY,Teledyne Technologies Incorporated,A,Conservative,A,B,B,A,A,B,B,F,C,B,7,32.4,0,214,124,1.66,16.8,704.6,5,1.88,13.25,12.1,Provides electronic and communication products for wireless and satellite systems,Aerospace & Defense,55,15,22,24,34
TEF,Telefonica SA Sponsored ADR,F,Conservative,F,C,C,D,D,D,D,A,A,B,44,13.6,0,11,9,0.23,-15.3,13,-8.7,0.21,-10.69,2.3,Provides telecommunication services,Specialty Telecommunications,27,1,18,7,8
TEP,Tallgrass Energy Partners LP,D,Conservative,D,C,B,B,B,F,A,F,F,B,3,11.5,10,52,35,0.72,53.1,190.4,18.3,0.54,-25.28,-17.5,Owns and operates crude oil and natural gas pipeline systems,Oil & Gas Pipelines,55,29,28,39,52
TEVA,Teva Pharmaceutical Industries Limited Sponsored A,D,Aggressive,D,C,F,A,A,A,A,D,B,F,24,0,0,33,11,1.02,42.1,4,-17,0.64,-37.72,-6.9,Manufactures and markets generic and proprietary branded pharmaceuticals and active pharmaceutical ingredients,Pharmaceuticals: Generic,15,3,9,6,6
THC,Tenet Healthcare Corporation,B,Moderate,A,B,F,C,C,A,C,A,A,A,3,0,0,38,13,-0.17,0,4,-5.1,0.24,0,47.1,Provides health care services,Hospital/Nursing Management,27,6,19,0,4
TIF,Tiffany & Co.,B,Conservative,A,B,B,B,B,B,A,D,C,B,16,45.2,2,138,88,0.92,36.8,1,8.3,1,9.07,13.5,Operates jewelry stores and manufactures jewelry through its subsidiary,Specialty Stores,50,4,12,26,22
TMUS,"T-Mobile US, Inc.",D,Conservative,D,C,C,D,D,D,B,F,D,A,51,11.67,0,66,55,0.67,9.2,10,4,0.87,29.94,20.2,"Provides wireless voice, messaging and data services",Wireless Telecommunications,25,3,6,4,7
TNET,"TriNet Group, Inc.",A,Conservative,A,B,C,A,A,B,B,D,C,A,3,22,0,57,32,0.52,22.6,208.4,3.7,0.67,29.33,17.9,Provides human resources outsourcing services,Data Processing Services,37,16,22,5,11
TOL,"Toll Brothers, Inc.",D,Conservative,D,C,B,D,D,C,D,F,B,B,5,11.6,1,53,37,0.87,-5.3,1,20.7,1.03,18.36,18.9,"Designs, builds, markets and finances single family homes",Homebuilding,26,7,8,14,16
TPH,TRI Pointe Group Inc,B,Conservative,B,B,A,A,A,B,B,B,B,B,2,13.7,0,19,12,0.21,16.5,732.7,28.5,0.36,70.58,25.9,Provides homebuilding services,Homebuilding,26,8,6,4,13
TPX,Tempur Sealy International Inc,D,Conservative,D,D,F,D,D,D,D,D,D,A,2,18.7,0,68,42,0.45,-11.6,692.7,5.1,0.63,39.62,9.9,Manufactures and distributes mattresses and pillows,Home Furnishings,15,3,7,2,10
TREE,"LendingTree, Inc.",B,Moderate,B,A,A,A,A,A,A,C,B,B,3,240.3,0,403,167,0.54,228.9,196.4,28.6,0.75,39.66,81.5,Provides online mortgage lending services,Finance/Rental/Leasing,65,18,5,18,10
TREX,"Trex Company, Inc.",A,Conservative,A,B,B,C,B,C,C,C,C,A,3,39.9,0,66,34,0.49,5.5,190.8,20.8,0.65,34.02,23.4,Manufactures decking and railing products,Forest Products,6,2,1,3,2
TRI,Thomson Reuters Corporation,F,Conservative,F,D,F,A,F,F,F,C,D,C,28,21,4,48,38,0.6,-27.3,1,-52.9,0.11,-82.4,23.1,Provides on-line information and publishing services,Financial Publishing/Services,12,3,9,9,3
TRP,TransCanada Corporation,D,Conservative,F,C,D,B,C,B,B,F,F,B,38,16.4,5,52,40,0.61,14.4,2,-4.4,0.59,-4.1,5,Provides natural gas transportation services,Oil & Gas Pipelines,55,3,47,30,40
TRV,"Travelers Companies, Inc.",D,Conservative,D,D,D,C,C,D,D,F,B,C,33,17,2,150,115,1.92,-8.2,6,4.1,2.42,25.96,21.3,"Provides commercial, personal property and casualty insurance products",Property/Casualty Insurance,54,3,18,19,26
TSLA,Tesla Inc,D,Conservative,D,D,B,C,C,F,C,F,F,F,56,0,0,385,252,-1.33,6.7,4,51.1,-2.71,0,349.9,Designs and manufactures electric sports cars,Motor Vehicles,11,3,1,0,1
TSM,Taiwan Semiconductor Manufacturing Co.,D,Conservative,D,C,C,C,C,D,D,D,C,A,197,17.5,0,46,35,0.42,-0.7,7,10.4,0.46,9.67,10.5,"Manufactures, distributes and tests integrated circuits, silicon wafers, diodes and related semiconductor components",Semiconductors,61,2,24,26,42
TTD,"Trade Desk, Inc.",B,Aggressive,B,B,A,B,A,A,A,C,C,A,3,80.1,0,93,43,0.52,242,103.7,42.5,0.44,-15.65,26.3,Provides online advertising exchange,Advertising/Marketing Services,21,5,3,9,7
TUP,Tupperware Brands Corporation,F,Conservative,F,C,F,D,D,D,D,D,A,A,2,0,6,71,40,1.21,-5.9,559.9,-2.3,1.17,-3.35,1.3,"Manufactures and sells tupperware products, cosmetics and personal care products",Miscellaneous Manufacturing,22,8,13,13,13
TWTR,"Twitter, Inc.",A,Moderate,A,B,B,C,C,A,A,C,D,D,34,0,0,47,16,0.08,38,697,21.4,0.16,105.77,32.2,Acts as a global platform for public self expression and conversation in real time,Internet Software/Services,91,5,26,4,28
TX,Ternium S.A. Sponsored ADR,A,Conservative,A,B,A,C,B,A,A,C,B,A,7,8.1,0,42,25,1.27,59.7,3,36.1,1.64,29.13,9.1,Manufactures and markets steel products,Steel,26,8,3,16,19
TXN,Texas Instruments Incorporated,B,Conservative,A,B,C,B,B,A,B,F,C,A,110,31.2,2,120,76,1.03,22.1,3,7.2,1.3,26.61,15.1,"Designs, manufactures and sells integrated circuit semiconductors and calculators",Semiconductors,61,5,27,16,30
TXRH,"Texas Roadhouse, Inc.",B,Conservative,A,B,C,B,B,C,D,C,C,A,4,37.1,2,68,45,0.53,0.2,634.3,12,0.66,25,13.8,Operates a chain of full-service restaurants,Restaurants,54,11,14,7,21
TXT,Textron Inc.,B,Conservative,A,B,C,A,A,B,A,C,C,C,17,58.8,0,69,46,0.6,49.1,3,-2.6,0.69,15.2,18.7,"Manufactures aircrafts, automotive engines, industrial products, and military equipment",Industrial Conglomerates,12,7,8,2,1
UBNT,"Ubiquiti Networks, Inc.",B,Conservative,A,B,B,B,A,C,C,D,B,A,6,47.1,0,88,51,0.75,2.6,256,12,1.01,35.24,13.4,Develops networking technology for service providers and enterprises,Telecommunications Equipment,55,8,15,5,21
UBS,UBS Group AG,D,Conservative,F,C,C,C,B,D,C,A,A,C,58,54.8,0,21,15,0.32,1.9,7,1.4,0.37,15.13,123.7,"Operates as a holding company, which engages in the provision of wealth management, investment banking, retail and commercial banking services",Major Banks,44,15,25,22,1
UHS,"Universal Health Services, Inc.",D,Conservative,D,C,D,C,C,C,D,F,C,B,10,14.7,0,127,96,1.94,-5.2,2,-3.9,2.4,23.95,14.3,"Operates as a healthcare management company, which owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers and radiation oncology centers",Hospital/Nursing Management,27,2,18,4,12
UL,Unilever PLC Sponsored ADR,D,Conservative,D,C,C,C,C,D,C,C,C,C,67,22.4,0,60,51,0,0,16,-3.6,0,0,6.5,Provides fast moving consumer goods,Household/Personal Care,25,3,19,0,17
ULTA,Ulta Beauty Inc,D,Conservative,D,C,B,C,B,C,B,F,C,A,15,27.8,0,290,190,1.83,8.8,1,15.5,2.41,31.64,18.1,Retails cosmetics and other personal care products,Specialty Stores,50,5,5,9,15
ULTI,"Ultimate Software Group, Inc.",B,Conservative,B,B,B,A,A,C,B,A,C,C,8,558.1,0,280,183,0.93,14.7,268.6,19.5,1.28,37.29,26.4,Develops and provides Web-based payroll and workforce management software solutions,Packaged Software,87,19,25,15,26
UMC,United Microelectronics Corp. Sponsored ADR,A,Conservative,A,B,D,B,B,A,A,A,B,C,7,22.7,0,3,2,0.03,298.8,1,5.7,0.02,-15.01,10.4,"Designs and manufactures micro chips, semiconductors, and components for liquid crystal display production",Semiconductors,61,18,31,34,44
UMPQ,Umpqua Holdings Corporation,B,Conservative,B,B,C,A,B,A,A,B,C,C,5,20.8,3,25,17,0.26,28.8,304.2,7.4,0.34,30.45,25,Operates as a bank holding company whose subsidiary provides banking services,Regional Banks,300,34,126,72,57
UN,Unilever NV ADR,D,Conservative,D,C,C,C,C,D,C,C,C,C,83,22.5,0,61,52,0,0,16,0.3,0,0,6.3,Provides fast moving consumer goods,Household/Personal Care,25,2,16,0,18
UNIT,Uniti Group Inc,D,Moderate,D,C,B,C,C,B,F,B,F,D,3,0,15,27,14,-0.11,-182.3,250.1,17.4,0.02,0,56.9,"Operates as a real estate investment trust company, which is engaged in the acquisition and construction of infrastructure",Real Estate Investment Trusts,226,75,47,0,12
UPS,"United Parcel Service, Inc.",D,Conservative,D,C,C,C,C,C,C,F,D,A,98,20.2,3,134,102,1.58,0.5,17,9.8,1.92,21.55,12.5,Provides global package delivery and supply chain management solutions,Air Freight/Couriers,13,1,10,7,11
URBN,"Urban Outfitters, Inc.",A,Conservative,A,B,C,A,A,A,A,B,C,B,5,48,0,48,17,0.44,24.8,977.9,12,0.76,73.57,21.8,Operates retail clothing stores,Apparel/Footwear Retail,37,13,8,5,5
URI,"United Rentals, Inc.",B,Conservative,B,B,B,B,A,B,B,F,D,A,13,9.9,0,189,105,2.37,17.3,1,15.8,3.41,44.03,21.1,Operates as a holding company which through its subsidiary engages in the equipment rental business,Finance/Rental/Leasing,65,4,17,13,28
USB,U.S. Bancorp,D,Conservative,F,C,D,C,C,C,C,D,C,B,83,14.4,2,58,49,0.85,1.6,5,3,1,18.16,12,"Operates as a bank holding company, which through its subsidiary provides banking services",Major Banks,44,9,24,18,22
USFD,US Foods Holding Corp.,B,Conservative,A,B,D,A,A,B,B,C,C,B,8,19.4,0,38,26,0.37,11,6,2.6,0.58,55.71,26.7,"Operates as a holding company, which distributes food services",Food Distributors,8,3,6,2,2
USNA,"USANA Health Sciences, Inc.",A,Conservative,A,B,B,B,B,B,B,D,C,A,2,45.8,0,120,54,1.01,13.9,278.3,8.3,1.15,13.86,16.3,"Develops and manufactures nutritional, personal care and weight-management products",Household/Personal Care,25,13,7,5,6
UTX,United Technologies Corporation,D,Conservative,D,C,C,D,D,C,B,F,B,B,99,21.9,2,138,110,1.85,16.8,16,6.4,1.84,-0.32,9,"Manufactures engine parts, elevators, and air-conditioning equipment",Industrial Conglomerates,12,4,5,7,7
V,Visa Inc.,A,Conservative,A,B,C,A,A,B,B,F,C,A,303,46.5,1,136,93,0.86,9.3,5,11.5,1.09,27.27,20.4,Operates as a global payments technology,Finance/Rental/Leasing,65,1,23,27,30
VAC,Marriott Vacations Worldwide Corporation,D,Conservative,D,C,B,C,C,C,D,F,C,A,3,14.4,1,153,109,1.6,-9.5,587,18,1.93,20.82,16.7,Provides real estate and resort management services,Real Estate Development,45,7,8,8,9
VEEV,Veeva Systems Inc,B,Conservative,B,B,B,C,C,B,B,B,C,B,11,89.1,0,85,54,0.23,8.1,203.6,22.2,0.34,46.27,27.4,"Provides industry-specific, cloud-based software solutions for the life sciences industry",Packaged Software,87,14,19,10,24
VG,Vonage Holdings Corp.,A,Moderate,A,B,D,A,A,A,A,B,A,D,2,0,0,12,6,0.06,75,255,1.3,0.08,28.57,27.7,Provides communication services connecting people through broadband devices worldwide,Specialty Telecommunications,27,9,11,3,3
